scissors,scissors,Draw
scissors,paper,You win
rock,paper,You lose
scissors,paper,You win
rock,paper,You lose
paper,paper,Draw
paper,paper,Draw
scissors,scissors,Draw
paper,scissors,You lose
paper,scissors,You lose
scissors,scissors,Draw
rock,paper,You lose
scissors,paper,You win
paper,paper,Draw
scissors,scissors,Draw
paper,paper,Draw
rock,rock,Draw
rock,paper,You lose
scissors,paper,You win
paper,paper,Draw
paper,scissors,You lose
paper,paper,Draw
scissors,paper,You win
rock,rock,Draw
paper,scissors,You lose
rock,scissors,You win
scissors,rock,You lose
scissors,scissors,Draw
rock,rock,Draw
paper,paper,Draw
rock,scissors,You win
scissors,scissors,Draw
paper,paper,Draw
rock,paper,You lose
scissors,rock,You lose
paper,rock,You win
rock,scissors,You win
paper,scissors,You lose
paper,rock,You win
scissors,scissors,Draw
rock,scissors,You win
scissors,rock,You lose
paper,paper,Draw
rock,scissors,You win
scissors,scissors,Draw
scissors,paper,You win
rock,paper,You lose
rock,rock,Draw
paper,scissors,You lose
paper,rock,You win
scissors,paper,You win
rock,rock,Draw
paper,rock,You win
paper,rock,You win
paper,scissors,You lose
rock,scissors,You win
paper,scissors,You lose
scissors,paper,You win
scissors,paper,You win
rock,scissors,You win
rock,rock,Draw
paper,scissors,You lose
scissors,scissors,Draw
scissors,scissors,Draw
paper,scissors,You lose
rock,rock,Draw
paper,rock,You win
paper,rock,You win
scissors,scissors,Draw
paper,paper,Draw
rock,scissors,You win
paper,scissors,You lose
scissors,scissors,Draw
scissors,paper,You win
rock,rock,Draw
scissors,scissors,Draw
rock,paper,You lose
paper,paper,Draw
paper,scissors,You lose
paper,rock,You win
scissors,paper,You win
paper,paper,Draw
paper,scissors,You lose
rock,paper,You lose
rock,paper,You lose
paper,paper,Draw
rock,scissors,You win
rock,rock,Draw
paper,paper,Draw
rock,scissors,You win
rock,paper,You lose
scissors,scissors,Draw
scissors,paper,You win
paper,paper,Draw
paper,rock,You win
scissors,paper,You win
scissors,paper,You win
rock,rock,Draw
paper,paper,Draw
scissors,scissors,Draw
paper,scissors,You lose
rock,scissors,You win
paper,paper,Draw
scissors,paper,You win
rock,scissors,You win
rock,paper,You lose
rock,scissors,You win
rock,paper,You lose
rock,scissors,You win
paper,rock,You win
scissors,paper,You win
scissors,paper,You win
rock,rock,Draw
rock,rock,Draw
rock,scissors,You win
scissors,rock,You lose
rock,rock,Draw
rock,scissors,You win
paper,paper,Draw
rock,scissors,You win
scissors,scissors,Draw
paper,scissors,You lose
rock,scissors,You win
rock,scissors,You win
scissors,rock,You lose
scissors,rock,You lose
paper,paper,Draw
scissors,rock,You lose
paper,paper,Draw
rock,rock,Draw
paper,paper,Draw
scissors,scissors,Draw
rock,paper,You lose
rock,paper,You lose
paper,scissors,You lose
paper,scissors,You lose
rock,rock,Draw
paper,paper,Draw
rock,rock,Draw
scissors,paper,You win
rock,scissors,You win
scissors,paper,You win
scissors,paper,You win
paper,paper,Draw
rock,scissors,You win
rock,paper,You lose
paper,scissors,You lose
scissors,scissors,Draw
rock,paper,You lose
scissors,paper,You win
scissors,rock,You lose
rock,rock,Draw
rock,rock,Draw
paper,rock,You win
paper,rock,You win
rock,paper,You lose
rock,scissors,You win
rock,paper,You lose
paper,scissors,You lose
paper,paper,Draw
paper,scissors,You lose
rock,rock,Draw
scissors,rock,You lose
paper,rock,You win
rock,rock,Draw
paper,paper,Draw
rock,rock,Draw
rock,rock,Draw
scissors,rock,You lose
paper,scissors,You lose
paper,scissors,You lose
paper,rock,You win
scissors,rock,You lose
rock,paper,You lose
scissors,paper,You win
rock,paper,You lose
rock,rock,Draw
scissors,paper,You win
paper,scissors,You lose
paper,paper,Draw
paper,rock,You win
scissors,rock,You lose
rock,scissors,You win
paper,paper,Draw
rock,rock,Draw
paper,scissors,You lose
rock,scissors,You win
scissors,scissors,Draw
scissors,paper,You win
scissors,rock,You lose
paper,scissors,You lose
paper,paper,Draw
rock,paper,You lose
scissors,paper,You win
scissors,paper,You win
rock,rock,Draw
paper,paper,Draw
rock,rock,Draw
paper,scissors,You lose
paper,paper,Draw
rock,scissors,You win
rock,scissors,You win
rock,rock,Draw
scissors,paper,You win
paper,rock,You win
rock,paper,You lose
rock,rock,Draw
scissors,rock,You lose
scissors,scissors,Draw
scissors,scissors,Draw
rock,paper,You lose
scissors,rock,You lose
scissors,paper,You win
rock,rock,Draw
paper,paper,Draw
paper,scissors,You lose
paper,paper,Draw
rock,rock,Draw
paper,paper,Draw
paper,paper,Draw
scissors,scissors,Draw
rock,scissors,You win
paper,rock,You win
scissors,paper,You win
paper,scissors,You lose
scissors,scissors,Draw
paper,rock,You win
scissors,paper,You win
scissors,rock,You lose
paper,paper,Draw
scissors,rock,You lose
paper,paper,Draw
rock,paper,You lose
rock,scissors,You win
rock,rock,Draw
scissors,scissors,Draw
scissors,paper,You win
rock,paper,You lose
scissors,paper,You win
scissors,rock,You lose
paper,scissors,You lose
paper,rock,You win
rock,scissors,You win
rock,paper,You lose
scissors,paper,You win
rock,scissors,You win
paper,rock,You win
scissors,scissors,Draw
rock,scissors,You win
paper,paper,Draw
scissors,scissors,Draw
rock,rock,Draw
paper,paper,Draw
rock,rock,Draw
rock,rock,Draw
scissors,scissors,Draw
rock,scissors,You win
scissors,rock,You lose
paper,scissors,You lose
rock,rock,Draw
scissors,rock,You lose
rock,scissors,You win
rock,scissors,You win
paper,scissors,You lose
scissors,scissors,Draw
scissors,rock,You lose
scissors,rock,You lose
rock,scissors,You win
scissors,scissors,Draw
rock,scissors,You win
scissors,paper,You win
paper,scissors,You lose
paper,paper,Draw
paper,rock,You win
scissors,scissors,Draw
rock,rock,Draw
paper,scissors,You lose
rock,paper,You lose
scissors,rock,You lose
rock,rock,Draw
paper,paper,Draw
paper,rock,You win
paper,paper,Draw
rock,paper,You lose
scissors,rock,You lose
paper,rock,You win
rock,paper,You lose
scissors,rock,You lose
paper,paper,Draw
scissors,scissors,Draw
rock,paper,You lose
rock,scissors,You win
paper,scissors,You lose
paper,scissors,You lose
paper,paper,Draw
rock,paper,You lose
scissors,rock,You lose
paper,scissors,You lose
paper,rock,You win
scissors,scissors,Draw
rock,scissors,You win
